Physical Address Suburb,Physical Address State,Physical Address Post Code,2015 Aged Care Planning Region (ACPR),SA4 Region,Care Type,Residential Places,Home Care Places,Restorative Care Places,Provider Name,Organisation Type,ABS Remoteness,Latitude,Longitude,2016-17 Australian Government Funding,Total Places
BLI BLI,QLD,4560,Sunshine Coast,Sunshine Coast,Residential,92,,,The Uniting Church in Australia Property Trust (Q.),Religious,Major Cities of Australia,-26.61367971,153.039073,5929200,92
BIRKDALE,QLD,4159,Brisbane South,Brisbane - East,Residential,204,,,The Netherlands Retirement Village Assn of Qld Inc,Community Based,Major Cities of Australia,-27.49603389,153.2187704,7047653,204
MILES,QLD,4415,Darling Downs,Darling Downs - Maranoa,Residential,17,,,Western Downs Regional Council,Local Government,Outer Regional Australia,-26.65743646,150.189681,1112523,17
BETHANIA,QLD,4205,Logan River Valley,Logan - Beaudesert,Residential,50,,,The Uniting Church in Australia Property Trust (Q.),Religious,Major Cities of Australia,-27.68950637,153.1583083,4134897,50
MONTO,QLD,4630,Wide Bay,Wide Bay,Residential,21,,,Aged Care Monto Inc,Community Based,Outer Regional Australia,-24.86697508,151.1115376,866118,21
BORONIA HEIGHTS,QLD,4124,Logan River Valley,Logan - Beaudesert,Residential,98,,,Sisters of St Paul de Chartres Australia,Religious,Major Cities of Australia,-27.68868968,153.0297395,6324122,98
WARANA,QLD,4575,Sunshine Coast,Sunshine Coast,Residential,60,,,The Uniting Church in Australia Property Trust (Q.),Religious,Major Cities of Australia,-26.71459806,153.1290291,3865229,60
BUDERIM,QLD,4556,Sunshine Coast,Sunshine Coast,Residential,60,,,Lutheran Church of Australia - Queensland District,Religious,Major Cities of Australia,-26.67693477,153.081965,2914159,60
ARUNDEL,QLD,4214,South Coast,Gold Coast,Residential,49,,,St Vincent's Care Services Ltd.,Religious,Major Cities of Australia,-27.94002943,153.3823056,3290329,49
HOPE ISLAND,QLD,4212,South Coast,Gold Coast,Residential,121,,,Lions Haven for the Aged Limited,Charitable,Major Cities of Australia,-27.87322618,153.3604864,5802666,121
NERANG,QLD,4211,South Coast,Gold Coast,Residential,41,,,Churches of Christ in Queensland,Religious,Major Cities of Australia,-27.99018637,153.3126089,2627303,41
HIGHGATE HILL,QLD,4101,Brisbane South,Brisbane Inner City,Residential,30,,,Greek Ladies Philoptochos Society of St George Brisbane,Religious,Major Cities of Australia,-27.48228716,153.0153398,1265655,30
BOWEN,QLD,4805,Northern,Mackay,Residential,29,,,Bowen Old Peoples Homes Society,Community Based,Outer Regional Australia,-19.99138258,148.2405927,1641284,29
LAWNTON,QLD,4501,Cabool,Moreton Bay - South,Residential,93,,,The Uniting Church in Australia Property Trust (Q.),Religious,Major Cities of Australia,-27.28236911,152.9565205,7056912,93
WOOMBYE,QLD,4559,Sunshine Coast,Sunshine Coast,Residential,55,,,Woombye Care Incorporated,Community Based,Major Cities of Australia,-26.65976428,152.9524536,2949243,55
ALEXANDRA HILLS,QLD,4161,Brisbane South,Brisbane - East,Residential,76,,,The Uniting Church in Australia Property Trust (Q.),Religious,Major Cities of Australia,-27.52822494,153.2335358,5105653,76
ELANORA,QLD,4221,South Coast,Gold Coast,Residential,50,,,The Uniting Church in Australia Property Trust (Q.),Religious,Major Cities of Australia,-28.12636878,153.4640556,3693180,50
BOWEN,QLD,4805,Northern,Mackay,Residential,61,,,Bowen Old Peoples Homes Society,Community Based,Outer Regional Australia,-19.99138258,148.2405927,3486208,61
POINT VERNON,QLD,4655,Wide Bay,Wide Bay,Residential,80,,,TriCare Pt Vernon Aged Care Pty Ltd,Private Incorporated Body,Inner Regional Australia,-25.25785596,152.8088929,3201147,80
INDOOROOPILLY,QLD,4068,Brisbane North,Brisbane - West,Residential,60,,,The Ethnic Communities Council of Queensland Limited,Charitable,Major Cities of Australia,-27.49976762,152.9790926,3272962,60
BILOELA,QLD,4715,Fitzroy,Fitzroy,Residential,30,,,Lutheran Church of Australia - Queensland District,Religious,Outer Regional Australia,-24.4081655,150.516149,2092307,30
WINDSOR,QLD,4030,Brisbane North,Brisbane Inner City,Residential,61,,,Alzheimer's Association of Queensland Inc,Charitable,Major Cities of Australia,-27.42920517,153.0316128,4212195,61
CABOOLTURE,QLD,4510,Cabool,Moreton Bay - North,Residential,172,,,Jomal Pty Ltd,Private Incorporated Body,Major Cities of Australia,-27.07061166,152.919891,10011091,172
GAYNDAH,QLD,4625,Wide Bay,Wide Bay,Residential,30,,,The Central & Upper Burnett District Home for the Aged,Community Based,Outer Regional Australia,-25.62688578,151.6134543,1713272,30
WOREE,QLD,4868,Far North,Cairns,Residential,75,,,Mercy Aged and Community Care Ltd,Charitable,Outer Regional Australia,-16.95746949,145.7391438,5016653,75
SOUTHPORT,QLD,4215,South Coast,Gold Coast,Residential,94,,,Aquarius Aged Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,-27.9603157,153.4067383,6551889,94
GREENBANK,QLD,4124,Logan River Valley,Logan - Beaudesert,Residential,161,,,Retirement Care Australia (Logan) Pty Limited,Publicly Listed Company,Major Cities of Australia,-27.68533374,153.009992,11514785,161
WYNNUM,QLD,4178,Brisbane South,Brisbane - East,Residential,126,,,Nazareth Care,Religious,Major Cities of Australia,-27.43028495,153.1593017,9436434,126
BEAUDESERT,QLD,4285,Logan River Valley,Logan - Beaudesert,Residential,49,,,Wongaburra Society,Community Based,Inner Regional Australia,-27.96972327,152.9945572,3100181,49
NERANG,QLD,4211,South Coast,Gold Coast,Residential,81,,,Clanwilliam Pty Ltd,Private Incorporated Body,Major Cities of Australia,-27.98948648,153.3298849,3060664,81
NERANG,QLD,4211,South Coast,Gold Coast,Residential,89,,,People Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,-27.99625157,153.3440777,2823673,89
ATHERTON,QLD,4883,Far North,Cairns,Residential,29,,,Carinya Home for the Aged,Community Based,Outer Regional Australia,-17.26818994,145.4874801,1854279,29
RACEVIEW,QLD,4305,West Moreton,Ipswich,Residential,72,,,Southern Cross Care (QLD) Inc,Religious,Major Cities of Australia,-27.6416241,152.7796566,5505419,72
ARUNDEL,QLD,4214,South Coast,Gold Coast,Residential,108,,,The Uniting Church in Australia Property Trust (Q.),Religious,Major Cities of Australia,-27.94245689,153.3859889,6676305,108
ALEXANDRA HILLS,QLD,4161,Brisbane South,Brisbane - East,Residential,50,,,Churches of Christ in Queensland,Religious,Major Cities of Australia,-27.52009576,153.2287015,3397294,50
KILLARNEY,QLD,4373,Darling Downs,Darling Downs - Maranoa,Residential,22,,,Killarney Memorial Aged Care Ltd,Community Based,Outer Regional Australia,-28.34349201,152.2983046,1058919,22
SOUTHPORT,QLD,4215,South Coast,Gold Coast,Residential,71,,,Churches of Christ in Queensland,Religious,Major Cities of Australia,-27.98499595,153.4036347,4469336,71
BEAUDESERT,QLD,4285,Logan River Valley,Logan - Beaudesert,Residential,78,,,Star Aged Living Ltd,Religious,Inner Regional Australia,-27.995239,153.020384,5039115,78
KALLANGUR,QLD,4503,Cabool,Moreton Bay - South,Residential,54,,,The Uniting Church in Australia Property Trust (Q.),Religious,Major Cities of Australia,-27.25170898,152.9802933,4594551,54
ASHMORE,QLD,4214,South Coast,Gold Coast,Residential,115,,,The Corporation of the Trustees of the Roman Catholic Archdiocese of Brisbane,Religious,Major Cities of Australia,-27.97125017,153.3845069,6190029,115
ST GEORGE,QLD,4487,South West,Darling Downs - Maranoa,Residential,38,,,Churches of Christ in Queensland,Religious,Remote Australia,-28.05131924,148.5688732,2452367,38
CUNNAMULLA,QLD,4490,South West,Queensland - Outback,Residential,12,,,Churches of Christ in Queensland,Religious,Very Remote Australia,-28.07014371,145.6898342,494331,12
YARRABAH,QLD,4871,Far North,Queensland - Outback,Residential,15,,,Mutkin Residential and Community Care Indigenous Corporation,Community Based,Outer Regional Australia,-16.95999182,145.8870878,1048575,15
SARINA,QLD,4737,Mackay,Mackay,Residential,48,,,Sarina Aged Residential Home Inc,Community Based,Outer Regional Australia,-21.4218557,149.2212995,2905617,48
POINT VERNON,QLD,4655,Wide Bay,Wide Bay,Residential,97,,,The Corporation of the Synod of the Diocese of Brisbane,Religious,Inner Regional Australia,-25.26351162,152.8239741,5911904,97
URRAWEEN,QLD,4655,Wide Bay,Wide Bay,Residential,60,,,The Uniting Church in Australia Property Trust (Q.),Religious,Inner Regional Australia,-25.30343541,152.831573,3432930,60
BUNDABERG,QLD,4670,Wide Bay,Wide Bay,Residential,115,,,Churches of Christ in Queensland,Religious,Inner Regional Australia,-24.886408,152.330885,7402581,115
BURNSIDE,QLD,4560,Sunshine Coast,Sunshine Coast,Residential,50,,,Sundale Ltd,Community Based,Major Cities of Australia,-26.6336975,152.941124,2793162,50
PALMWOODS,QLD,4555,Sunshine Coast,Sunshine Coast,Residential,71,,,Sundale Ltd,Community Based,Major Cities of Australia,-26.68226497,152.9563019,4573031,71
CURRIMUNDI,QLD,4551,Sunshine Coast,Sunshine Coast,Residential,156,,,Ozcare,Charitable,Major Cities of Australia,-26.77163518,153.1142431,7268455,156
PORT DOUGLAS,QLD,4871,Far North,Queensland - Outback,Residential,74,,,Ozcare,Charitable,Outer Regional Australia,-16.52896647,145.4751581,3963165,74
CALOUNDRA,QLD,4551,Sunshine Coast,Sunshine Coast,Residential,92,,,RSL Care RDNS Limited,Charitable,Major Cities of Australia,-26.79829876,153.1214785,5851994,92
CURRUMBIN WATERS,QLD,4223,South Coast,Gold Coast,Residential,126,,,RSL Care RDNS Limited,Charitable,Major Cities of Australia,-28.15268708,153.4604175,7641980,126
MIRANI,QLD,4754,Mackay,Mackay,Residential,50,,,Nanyima Aged Care Inc.,Community Based,Outer Regional Australia,-21.15932196,148.8728276,3283101,50
ANNANDALE,QLD,4814,Northern,Townsville,Residential,36,,,The Good Shepherd Limited,Charitable,Outer Regional Australia,-19.30962283,146.763096,1582480,36
CABOOLTURE,QLD,4510,Cabool,Moreton Bay - North,Residential,61,,,Lutheran Church of Australia - Queensland District,Religious,Major Cities of Australia,-27.06889439,152.9360475,3662844,61
CLIFTON,QLD,4361,Darling Downs,Darling Downs - Maranoa,Residential,15,,,Clifton Co-Op Hospital Ltd,Community Based,Inner Regional Australia,-27.93024359,151.9106242,670862,15
MOUNT MORGAN,QLD,4714,Fitzroy,Fitzroy,Residential,25,,,The Baptist Union of Queensland,Religious,Inner Regional Australia,-23.64745213,150.3889903,1474976,25
BUNDABERG EAST,QLD,4670,Wide Bay,Wide Bay,Residential,52,,,The Corporation of the Synod of the Diocese of Brisbane,Religious,Inner Regional Australia,-24.85166338,152.3887094,3211369,52
GYMPIE,QLD,4570,Sunshine Coast,Wide Bay,Residential,30,,,St Vincent's Care Services Ltd.,Religious,Inner Regional Australia,-26.19339585,152.6654634,1907676,30
BUNDABERG,QLD,4670,Wide Bay,Wide Bay,Residential,58,,,The Baptist Union of Queensland,Religious,Inner Regional Australia,-24.87406552,152.3712955,2619900,58
ASHMORE,QLD,4214,South Coast,Gold Coast,Residential,127,,,Domain Annex Pty Ltd,Private Incorporated Body,Major Cities of Australia,-27.98360962,153.3921813,7488967,127
NEWMARKET,QLD,4051,Brisbane North,Brisbane Inner City,Residential,58,,,Mellreach Pty Ltd,Private Incorporated Body,Major Cities of Australia,-27.44203417,153.0039667,3516485,58
LITTLE MOUNTAIN,QLD,4551,Sunshine Coast,Sunshine Coast,Residential,48,,,Seventh-Day Adventist Aged Care (South Queensland) Ltd,Charitable,Major Cities of Australia,-26.78067783,153.1065574,3034734,48
EDENS LANDING,QLD,4207,Logan River Valley,Logan - Beaudesert,Residential,64,,,Southern Cross Care (QLD) Inc,Religious,Major Cities of Australia,-27.69914699,153.1732443,4607549,64
TALLEBUDGERA,QLD,4228,South Coast,Gold Coast,Residential,72,,,Lutheran Church of Australia - Queensland District,Religious,Major Cities of Australia,-28.12097905,153.4370437,4295534,72
TIARO,QLD,4650,Wide Bay,Wide Bay,Residential,10,,,Churches of Christ in Queensland,Religious,Inner Regional Australia,-25.72922885,152.5844218,489154,10
CARBROOK,QLD,4130,Logan River Valley,Logan - Beaudesert,Residential,43,,,The Uniting Church in Australia Property Trust (Q.),Religious,Major Cities of Australia,-27.6815813,153.2389707,3036998,43
INNISFAIL,QLD,4860,Far North,Cairns,Residential,36,,,Warrina Innisfail,Community Based,Outer Regional Australia,-17.52029892,146.0240619,2098776,36
CHILDERS,QLD,4660,Wide Bay,Wide Bay,Residential,27,,,Forest View Childers Inc,Community Based,Inner Regional Australia,-25.23980522,152.272728,1360924,27
ASHMORE,QLD,4214,South Coast,Gold Coast,Residential,142,,,Shalimah Aust Pty Ltd,Private Incorporated Body,Major Cities of Australia,-27.98193299,153.3787322,7254342,142
YEPPOON,QLD,4703,Fitzroy,Fitzroy,Residential,66,,,Seventh-Day Adventist Aged Care (South Queensland) Ltd,Charitable,Inner Regional Australia,-23.13965,150.729342,4008517,66
WISHART,QLD,4122,Brisbane South,Brisbane - South,Residential,104,,,The Baptist Union of Queensland,Religious,Major Cities of Australia,-27.54550134,153.093678,6134329,104
SUNNYBANK HILLS,QLD,4109,Brisbane South,Brisbane - South,Residential,140,,,RSL Care RDNS Limited,Charitable,Major Cities of Australia,-27.59741627,153.0416065,9900065,140
HOME HILL,QLD,4806,Northern,Townsville,Residential,73,,,Lower Burdekin Home for the Aged Society,Community Based,Outer Regional Australia,-19.65586773,147.4133336,3752959,73
MURRUMBA DOWNS,QLD,4503,Cabool,Moreton Bay - South,Residential,94,,,RSL Care RDNS Limited,Charitable,Major Cities of Australia,-27.26289456,153.0106746,6180175,94
LOWOOD,QLD,4311,West Moreton,Ipswich,Residential,30,,,The Uniting Church in Australia Property Trust (Q.),Religious,Inner Regional Australia,-27.45958683,152.5796443,1903395,30
ROWES BAY,QLD,4810,Northern,Townsville,Residential,102,,,RSL Care RDNS Limited,Charitable,Outer Regional Australia,-19.23703373,146.7856492,6641157,102
INGLEWOOD,QLD,4387,Darling Downs,Darling Downs - Maranoa,Residential,11,,,Churches of Christ in Queensland,Religious,Outer Regional Australia,-28.41781484,151.0629498,733682,11
TARA,QLD,4421,Darling Downs,Darling Downs - Maranoa,Residential,33,,,Western Downs Regional Council,Local Government,Outer Regional Australia,-27.27502162,150.4572056,1961770,33
BOYNE ISLAND,QLD,4680,Fitzroy,Fitzroy,Residential,40,,,Sundale Ltd,Community Based,Inner Regional Australia,-23.940655,151.3518615,2504885,40
MARYBOROUGH,QLD,4650,Wide Bay,Wide Bay,Residential,91,,,RSL Care RDNS Limited,Charitable,Inner Regional Australia,-25.53378236,152.6927939,6188488,91
KEPERRA,QLD,4054,Brisbane North,Brisbane - West,Residential,49,,,Allity Pty Ltd,Private Incorporated Body,Major Cities of Australia,-27.41683333,152.9544181,2903844,49
SOUTHPORT,QLD,4215,South Coast,Gold Coast,Residential,36,,,Planlow Pty Ltd,Private Incorporated Body,Major Cities of Australia,-27.95364041,153.3958648,2111327,36
ASHMORE,QLD,4214,South Coast,Gold Coast,Residential,40,,,Hill View Aged Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,-27.9862105,153.386417,1319752,40
BOWEN,QLD,4805,Northern,Mackay,Residential,48,,,RSL Care RDNS Limited,Charitable,Outer Regional Australia,-19.99403567,148.2436009,3208013,48
ROCKVILLE,QLD,4350,Darling Downs,Toowoomba,Residential,42,,,Lutheran Church of Australia - Queensland District,Religious,Inner Regional Australia,-27.53739028,151.937644,2507629,42
ROCKHAMPTON,QLD,4700,Fitzroy,Fitzroy,Residential,31,,,Mercy Health and Aged Care Central Queensland Limited,Religious,Inner Regional Australia,-23.39232726,150.4953721,1888092,31
MOUNT COOLUM,QLD,4573,Sunshine Coast,Sunshine Coast,Residential,120,,,Estia Investments Pty Ltd,Private Incorporated Body,Major Cities of Australia,-26.56717083,153.0910222,7679157,120
TALLEBUDGERA,QLD,4228,South Coast,Gold Coast,Residential,60,,,The Uniting Church in Australia Property Trust (Q.),Religious,Major Cities of Australia,-28.15934967,153.4313783,3901179,60
GOONDIWINDI,QLD,4390,Darling Downs,Darling Downs - Maranoa,Residential,80,,,Kaloma Home for the Aged Limited,Community Based,Outer Regional Australia,-28.53561681,150.3051598,2862829,80
SOUTHPORT,QLD,4215,South Coast,Gold Coast,Residential,92,,,St Vincent's Care Services Ltd.,Religious,Major Cities of Australia,-27.97644935,153.4148352,4485922,92
DUNWICH,QLD,4183,Brisbane South,Brisbane - East,Residential,14,,,North Stradbroke Island Aboriginal & Islanders Housing Co-Operative Society Ltd,Community Based,Outer Regional Australia,-27.49185813,153.4084691,958355,14
PARK AVENUE,QLD,4701,Fitzroy,Fitzroy,Residential,79,,,Mercy Health and Aged Care Central Queensland Limited,Religious,Inner Regional Australia,-23.3517741,150.5212288,5790482,79
TIN CAN BAY,QLD,4580,Sunshine Coast,Wide Bay,Residential,20,,,Regis Aged Care Pty Ltd,Private Incorporated Body,Inner Regional Australia,-25.91996002,153.0043488,1440802,20
RUNAWAY BAY,QLD,4216,South Coast,Gold Coast,Residential,48,,,Linbrell Pty Ltd,Private Incorporated Body,Major Cities of Australia,-27.90881252,153.3873901,3416711,48
MAROOCHYDORE,QLD,4558,Sunshine Coast,Sunshine Coast,Residential,68,,,Regis Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,-26.66040987,153.067776,5164939,68
HELENSVALE,QLD,4212,South Coast,Gold Coast,Residential,70,,,Arcare Pty Ltd,Private Incorporated Body,Major Cities of Australia,-27.90076065,153.3198395,4732350,70
URRAWEEN,QLD,4655,Wide Bay,Wide Bay,Residential,78,,,Churches of Christ in Queensland,Religious,Inner Regional Australia,-25.29414362,152.8135764,5063724,78
HARRISTOWN,QLD,4350,Darling Downs,Toowoomba,Residential,80,,,RSL Care RDNS Limited,Charitable,Inner Regional Australia,-27.58828126,151.9234472,5462692,80
KAWUNGAN,QLD,4655,Wide Bay,Wide Bay,Residential,101,,,RSL Care RDNS Limited,Charitable,Inner Regional Australia,-25.31035709,152.8438416,6606971,101
MALENY,QLD,4552,Sunshine Coast,Sunshine Coast,Residential,82,,,The Uniting Church in Australia Property Trust (Q.),Religious,Inner Regional Australia,-26.76624221,152.8623262,5660584,82
CHARLEVILLE,QLD,4470,South West,Queensland - Outback,Residential,45,,,Queensland Health,State Government,Very Remote Australia,-26.400983,146.252129,2264542,45
NORTH MACKAY,QLD,4740,Mackay,Mackay,Residential,63,,,Resthaven Age Care Facility Pty Ltd,Private Incorporated Body,Inner Regional Australia,-21.11698485,149.1816584,4232427,63
MILES,QLD,4415,Darling Downs,Darling Downs - Maranoa,Residential,14,,,Queensland Health,State Government,Outer Regional Australia,-26.65808632,150.1908151,715863,14
WYNNUM WEST,QLD,4178,Brisbane South,Brisbane - East,Residential,99,,,Regis Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,-27.45308999,153.1626014,5362588,99
MOUNT GRAVATT,QLD,4122,Brisbane South,Brisbane - South,Residential,60,,,TriCare Agay St Aged Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,-27.55048168,153.0842006,3291730,60
SIPPY DOWNS,QLD,4556,Sunshine Coast,Sunshine Coast,Residential,100,,,Regis Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,-26.72290465,153.0566334,7293787,100
NERANG,QLD,4211,South Coast,Gold Coast,Residential,40,,,Seventh-Day Adventist Aged Care (South Queensland) Ltd,Charitable,Major Cities of Australia,-28.00853418,153.3175331,2257414,40
FOREST LAKE,QLD,4078,Brisbane South,Ipswich,Residential,151,,,Lollies Management Pty Ltd,Private Incorporated Body,Major Cities of Australia,-27.6099769,152.9539656,9925068,151
BIRKDALE,QLD,4159,Brisbane South,Brisbane - East,Residential,70,,,Regis Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,-27.49256919,153.2267643,5101208,70
DECEPTION BAY,QLD,4508,Cabool,Moreton Bay - North,Residential,77,,,SJT Aged Care Services Pty Limited,Private Incorporated Body,Major Cities of Australia,-27.18855331,153.0168891,5139724,77
MORAYFIELD,QLD,4506,Cabool,Moreton Bay - North,Residential,99,,,Domain Aged Care No.2 Pty Ltd,Private Incorporated Body,Major Cities of Australia,-27.10412225,152.940609,7602132,99
BALD HILLS,QLD,4036,Brisbane North,Brisbane - North,Residential,51,,,Panaghia Myrtidiotissa Limited,Private Incorporated Body,Major Cities of Australia,-27.3307315,153.0098368,1876097,51
VICTORIA POINT,QLD,4165,Brisbane South,Brisbane - East,Residential,138,,,Queensland Rehabilitation Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-27.59285425,153.2823012,8884571,138
GLENELLA,QLD,4740,Mackay,Mackay,Residential,128,,,Annimaci Pty Ltd,Private Incorporated Body,Inner Regional Australia,-21.11643236,149.1453108,7801042,128
CLEVELAND,QLD,4163,Brisbane South,Brisbane - East,Residential,109,,,Senjah Pty. Ltd.,Private Incorporated Body,Major Cities of Australia,-27.53582816,153.2549814,4742957,109
HOPE ISLAND,QLD,4212,South Coast,Gold Coast,Residential,39,,,Arcare Pty Ltd,Private Incorporated Body,Major Cities of Australia,-27.86180652,153.3538575,2408763,39
GATTON,QLD,4343,Darling Downs,Toowoomba,Residential,60,,,Regis Group Pty Ltd,Private Incorporated Body,Inner Regional Australia,-27.56617152,152.2818939,4605116,60
EIGHT MILE PLAINS,QLD,4113,Brisbane South,Brisbane - South,Residential,119,,,K & M Healthcare Pty Ltd,Private Incorporated Body,Major Cities of Australia,-27.57648033,153.0879867,7963012,119
NORTH BUNDABERG,QLD,4670,Wide Bay,Wide Bay,Residential,110,,,RSL Care RDNS Limited,Charitable,Inner Regional Australia,-24.85923518,152.3234803,7715051,110
WELLINGTON POINT,QLD,4160,Brisbane South,Brisbane - East,Residential,94,,,Superior Care Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,-27.51283369,153.2324146,5927501,94
CORINDA,QLD,4075,Brisbane South,Brisbane - West,Residential,75,,,The Uniting Church in Australia Property Trust (Q.),Religious,Major Cities of Australia,-27.54181375,152.9759213,4798993,75
BRIGHTON,QLD,4017,Brisbane North,Brisbane - North,Residential,160,,,Queensland Health,State Government,Major Cities of Australia,-27.290233,153.062322,2220538,160
RICHMOND HILL,QLD,4820,Northern,Townsville,Residential,110,,,Queensland Health,State Government,Outer Regional Australia,-20.06452004,146.2567499,6485923,110
ROCKHAMPTON,QLD,4700,Fitzroy,Fitzroy,Residential,80,,,Queensland Health,State Government,Inner Regional Australia,-23.372525,150.500363,4726460,80
TOOWOOMBA,QLD,4350,Darling Downs,Toowoomba,Residential,40,,,Queensland Health,State Government,Inner Regional Australia,-27.53550597,151.9758252,2438373,40
TOOWOOMBA,QLD,4350,Darling Downs,Toowoomba,Residential,84,,,St Vincent's Care Services Ltd.,Religious,Inner Regional Australia,-27.59949066,151.9533948,5090534,84
CHERMSIDE,QLD,4032,Brisbane North,Brisbane - North,Residential,145,,,The Uniting Church in Australia Property Trust (Q.),Religious,Major Cities of Australia,-27.38332878,153.0267582,9666747,145
KIPPA-RING,QLD,4021,Cabool,Moreton Bay - North,Residential,60,,,Queensland Health,State Government,Major Cities of Australia,-27.22988332,153.0966336,3871107,60
GRACEMERE,QLD,4702,Fitzroy,Fitzroy,Residential,69,,,The Uniting Church in Australia Property Trust (Q.),Religious,Inner Regional Australia,-23.44557753,150.4591953,3996694,69
MARYBOROUGH,QLD,4650,Wide Bay,Wide Bay,Residential,96,,,The Presbyterian Church of Queensland,Religious,Inner Regional Australia,-25.52263105,152.6919717,5377522,96
ROMA,QLD,4455,South West,Darling Downs - Maranoa,Residential,40,,,Queensland Health,State Government,Outer Regional Australia,-26.57106609,148.7850962,2170129,40
DALBY,QLD,4405,Darling Downs,Darling Downs - Maranoa,Residential,80,,,Queensland Health,State Government,Inner Regional Australia,-27.17427083,151.2715393,4245512,80
WONDAI,QLD,4606,Wide Bay,Wide Bay,Residential,46,,,Queensland Health,State Government,Outer Regional Australia,-26.32176343,151.8792691,3080133,46
THURINGOWA CENTRAL,QLD,4817,Northern,Townsville,Residential,70,,,Queensland Health,State Government,Outer Regional Australia,-19.30422921,146.7320234,4065737,70
NORMAN GARDENS,QLD,4701,Fitzroy,Fitzroy,Residential,100,,,Queensland Health,State Government,Inner Regional Australia,-23.31402587,150.5371704,6245501,100
OAKEY,QLD,4401,Darling Downs,Darling Downs - Maranoa,Residential,71,,,Queensland Health,State Government,Inner Regional Australia,-27.42742986,151.7195839,4122626,71
NAMBOUR,QLD,4560,Sunshine Coast,Sunshine Coast,Residential,28,,,Queensland Health,State Government,Major Cities of Australia,-26.6158611,152.9432477,1482764,28
AYR,QLD,4807,Northern,Townsville,Residential,40,,,Lower Burdekin Home for the Aged Society,Community Based,Outer Regional Australia,-19.56558951,147.4084873,2754498,40
TULLY,QLD,4854,Far North,Cairns,Residential,52,,,Tully Nursing Home Inc,Community Based,Outer Regional Australia,-17.92506874,145.9230347,3020678,52
KILLARNEY,QLD,4373,Darling Downs,Darling Downs - Maranoa,Residential,22,,,Killarney Memorial Aged Care Ltd,Community Based,Outer Regional Australia,-28.34701324,152.2970492,1469560,22
FLINDERS VIEW,QLD,4305,West Moreton,Ipswich,Residential,116,,,The Uniting Church in Australia Property Trust (Q.),Religious,Major Cities of Australia,-27.64808547,152.7727545,9183631,116
ROTHWELL,QLD,4022,Cabool,Moreton Bay - North,Residential,60,,,Beaumont Care (Holdings) Pty Ltd,Private Incorporated Body,Major Cities of Australia,-27.21776668,153.0488676,3998924,60
CLEAR ISLAND WATERS,QLD,4226,South Coast,Gold Coast,Residential,93,,,Tricare (Country) Pty Ltd,Private Incorporated Body,Major Cities of Australia,-28.03224557,153.3927487,4615439,93
KIPPA-RING,QLD,4021,Cabool,Moreton Bay - North,Residential,80,,,Beaumont Care (Holdings) Pty Ltd,Private Incorporated Body,Major Cities of Australia,-27.23011222,153.0912109,5248901,80
WARWICK,QLD,4370,Darling Downs,Darling Downs - Maranoa,Residential,40,,,Queensland Health,State Government,Inner Regional Australia,-28.22437521,152.0179286,2546929,40
SCARBOROUGH,QLD,4020,Cabool,Moreton Bay - North,Residential,107,,,Hibernian (QLD) Friendly Society Ltd,Charitable,Major Cities of Australia,-27.20595805,153.1015548,5091069,107
BUDERIM,QLD,4556,Sunshine Coast,Sunshine Coast,Residential,85,,,Lutheran Church of Australia - Queensland District,Religious,Major Cities of Australia,-26.67693477,153.081965,5010434,85
INNISFAIL,QLD,4860,Far North,Cairns,Residential,92,,,Warrina Innisfail,Community Based,Outer Regional Australia,-17.51730739,146.0191679,6227606,92
EAGLEBY,QLD,4207,Logan River Valley,Logan - Beaudesert,Residential,55,,,Aboriginal and Torres Strait Islander Community Health Service Brisbane Limited,Community Based,Major Cities of Australia,-27.70549177,153.225814,3795753,55
CHERMSIDE WEST,QLD,4032,Brisbane North,Brisbane - North,Residential,70,,,Tricare (Chermside) Pty Ltd,Private Incorporated Body,Major Cities of Australia,-27.39364905,153.0175237,3513745,70
WARANA,QLD,4575,Sunshine Coast,Sunshine Coast,Residential,82,,,Tricare (Kawana Waters) Pty Ltd,Private Incorporated Body,Major Cities of Australia,-26.71348178,153.1289123,4526286,82
GYMPIE,QLD,4570,Sunshine Coast,Wide Bay,Residential,61,,,The Uniting Church in Australia Property Trust (Q.),Religious,Inner Regional Australia,-26.20361269,152.6503096,4434802,61
MANLY WEST,QLD,4179,Brisbane South,Brisbane - East,Residential,36,,,Bethany Christian Care,Religious,Major Cities of Australia,-27.468696,153.169357,2100951,36
THE RANGE,QLD,4700,Fitzroy,Fitzroy,Residential,117,,,Mercy Health and Aged Care Central Queensland Limited,Religious,Inner Regional Australia,-23.39759269,150.4950981,7496477,117
TOOWOOMBA,QLD,4350,Darling Downs,Toowoomba,Residential,99,,,Brodribb Home Incorporated,Community Based,Inner Regional Australia,-27.56476761,151.9441953,5148699,99
